"Movie Name","Gross Worldwide Box Office Collection","Budget (Cost+ P&A)","Box Office Verdict (Hit Ya Flop)"
"Pushpa 2","1581.6 Crore","500 Crore","Blockbuster"
"Pushpa 2","Review","500 Crore","Blockbuster"
"Amaran","327.85 Crore","130 Crore","Blockbuster"
"Lucky Baskhar","112.75 Crore","56 Crore","Super Hit"
"Mechanic Rocky","8.75 Crore","20 Crore","Flop"
"Zebra","8.25 Crore","10 Crore","Flop"
"Kanguva","101.9 Crore","350 Crore","Disaster"
"Matka","3.4 Crore","40 Crore","Disaster"
"KA","38.85 Crore","22 Crore","Hit"
"Vettaiyan","250.95 Crore","300 Crore","Flop"
"Devara Part 1","447.45 Crore","300 Crore","Hit"
"Viswam","15 Crore","24 Crore","Flop"
"SWAG","8.8 Crore","16 Crore","Flop"
"Devara Part 1","Review","—","—"
"Mathu Vadalara 2","32.3 Crore","16 Crore","Hit"
"Greatest of All Time","459 Crore","400 Crore","Hit"
"Saripodhaa Sanivaaram","97.6 Crore","80 Crore","Hit"
"Gabbar Singh ( Re Release)","8.01 Crore","30 Crore","Blockbuster"
"AAY","15.75 Crore","8 Crore","Hit"
"Indra ( Re Release)","3.4 Crore","10 Crore","Hit"
"Thangalaan","68.8 Crore","140 Crore","Disaster"
"DoubleiSmart","18.6 Crore","90 Crore","Disaster"
"Mr Bachchan","13.2 Crore","50 Crore","Disaster"
"Murari ( Re – Release)","8.9 Crore","5 Crore","Super Hit"
"Raayan","151.75 Crore","90 Crore","Super Hit"
"Kalki","953 Crore","620 Crore","Hit"
"Darling","3.2 Crore","12 Crore","Flop"
"Indian 2","154 Crore","300 Crore","Disaster"
"Maharaja","91.25 Crore","30 Crore","Super hit"
"Manamey","21.25 Crore","20 Crore","Average"
"Harom Hara","5.65 Crore","12 Crore","Flop"
"Gangs of Godavari","19.15 Crore","24 Crore","Average"
"Bhaje Vaayu Vegam","7.2 Crore","12 Crore","Flop"
"Gam Gam Ganesha","5.45 Crore","12 Crore","Flop"
"Love Me If You Dare","5.1 Crore","24 Crore","Flop"
"Raju Yadav","1.8 Crore","10 Crore","Flop"
"Aranmanai 4","96 Crore","40 Crore","Hit"
"Krishnamma","3.9 Crore","10 Crore","Flop"
"Pratinidhi 2","2 Crore","10 Crore","Flop"
"Aa Okkati Adakku","5.85 Crore","10 Crore","Flop"
"Prasanna Vadanam","3.65 Crore","8 Crore","Flop"
"Rathnam","16.45 Crore","40 Crore","Flop"
"Family Star","31.25 Crore","100 Crore","Flop"
"Tillu Square","120.65 Crore","40 Crore","Super Hit"
"Om Bheem Bush","18 Crore","20 Crore","Average"
"Gaami","21.6 Crore","24 Crore","Average"
"Bhima","14.4 Crore","24 Crore","Flop"
"Ooru Peru Bhairavakona","19.2 Crore","25 Crore","Flop"
"Eagle","30.6 Crore","45 Crore","Flop"
"Operation Valentine","6.96 Crore","42 Crore","Disaster"
"Yatra 2","8 Crore","50 Crore","Flop"
"Hanuman","289.4 Crore","50 Crore","Blockbuster"
"Ambajipeta Marriage Band","9.6 Crore","8 Crore","Hit"
"Guntur Kaaram","184.2 Crore","200 Crore","Average"
"Captain Miller","72.94 Crore","60 Crore","Hit"
"Ayalaan","76 Crore","80 Crore","Flop"
"Naa Saami Ranga","38 Crore","40 Crore","Average"
"Saindhav","19.5 Crore","55 Crore","Flop"
"Devil","21.65 Crore","35 Crore","Flop"
"Salaar","624.6 Crore","400 Crore","Hit"
"Hi Nanna","65 Crore","65 Crore","Hit"
"Extra Ordinary Man","14.4 Crore","45 Crore","Flop"
"Animal (South)","51.6 Crore","200 Crore","All Time Blockbuster"
"AadiKeshav","10.25 Crore","20 Crore","Flop"
"Mangalavaaram","14.9 Crore","20 Crore","Flop"
"Jigarthanda 2","64.8 Crore","65 Crore","Average"
"Japan","28.5 Crore","80 Crore","Disaster"
"Keedaa Cola","13.5 Crore","15 Crore","Flop"
"Maa Oori Polimera 2","15.2 Crore","6 Crore","Hit"
"Leo","592.5 Crore","285 Crore","All Time Blockbuster"
"Bhagvanth Kesari","125 Crore","100 Crore","Average"
